LLM,Promptiong Strategy,Assurance Case,Criteria,,,Informativeness,Coherence,Usefulness
,,,,4,,1=Totally Informative,2=Mostly Coherent,3=Moderately Useful
,,,,5,,1=Totally Informative,2=Mostly Coherent,3=Moderately Useful
,,,Argument Criticism and Defeat,1,,1=Totally Informative,2=Mostly Coherent,3=Moderately Useful
,,,,2,,1=Totally Informative,2=Mostly Coherent,3=Moderately Useful
,,,,3,,1=Totally Informative,2=Mostly Coherent,2=Mostly Useful
,,,,4,,1=Totally Informative,2=Mostly Coherent,2=Mostly Useful
,,,,5,,1=Totally Informative,2=Mostly Coherent,3=Moderately Useful
DeepSeek-R1,CoT One Shot,GPCA,Argument Comprehension,1,,1=Totally Informative,2=Mostly Coherent,3=Moderately Useful
,,,,2,,1=Totally Informative,2=Mostly Coherent,3=Moderately Useful
,,,,3,,1=Totally Informative,3=Moderately Coherent,3=Moderately Useful
,,,,4,,1=Totally Informative,2=Mostly Coherent,3=Moderately Useful
,,,,5,,1=Totally Informative,2=Mostly Coherent,3=Moderately Useful
,,,Well-Formedness(Syntax),1,,1=Totally Informative,3=Moderately Coherent,1=Totally Useful
,,,,2,,1=Totally Informative,1=Totally Coherent,1=Totally Useful
,,,,3,,1=Totally Informative,1=Totally Coherent,1=Totally Useful
,,,,4,,1=Totally Informative,3=Moderately Coherent,3=Moderately Useful
,,,,5,,1=Totally Informative,1=Totally Coherent,1=Totally Useful
,,,Expressive Sufficiency ,1,,1=Totally Informative,2=Mostly Coherent,2=Mostly Useful
,,,,2,,1=Totally Informative,3=Moderately Coherent,3=Moderately Useful
,,,,3,,1=Totally Informative,3=Moderately Coherent,2=Mostly Useful
,,,,4,,2=Mostly Informative,3=Moderately Coherent,2=Mostly Useful
,,,,5,,1=Totally Informative,3=Moderately Coherent,4=Slightly Useful
,,,Argument Criticism and Defeat,1,,1=Totally Informative,2=Mostly Coherent,3=Moderately Useful
,,,,2,,1=Totally Informative,2=Mostly Coherent,4=Slightly Useful
,,,,3,,1=Totally Informative,3=Moderately Coherent,3=Moderately Useful
,,,,4,,2=Mostly Informative,1=Totally Coherent,4=Slightly Useful
,,,,5,,2=Mostly Informative,2=Mostly Coherent,3=Moderately Useful
